"","solID","channels","date_min","date_max","periods","constr_low","constr_up","histSpend","histSpendTotal","initSpendUnitTotal","initSpendUnit","initSpendShare","initResponseUnit","initResponseUnitTotal","initRoiUnit","expSpendTotal","expSpendUnitTotal","expSpendUnitDelta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmResponseUnit","optmResponseUnitTotal","optmRoiUnit","optmResponseUnitLift","optmResponseUnitTotalLift"
"1","5_1246_6","FB_female_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,15342527,139470468,975580.968207514,25742.494966443,0.0263868359524694,0.251707763073572,56.9835725124905,9.77790860604962e-06,890000,890000,-0.0877230809091697,18019.7464765101,-0.3,889999.999999999,-0.0877230809091709,0.0202469061533821,0.130157299709978,53.6223955971761,7.22303723194147e-06,-0.482903117009011,-0.0589850156302077
"2","5_1246_6","FB_male_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,85155480,139470468,975580.968207514,123057.052023121,0.12613720032815,12.1105895381869,56.9835725124905,9.84144292349161e-05,890000,890000,-0.0877230809091697,86139.936416185,-0.3,889999.999999999,-0.0877230809091709,0.0967864454114439,10.5354058140087,53.6223955971761,0.000122305706880336,-0.130066642850978,-0.0589850156302077
"3","5_1246_6","FB_o36_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,1843074,139470468,975580.968207514,6311.89726027397,0.00646988560249505,0.00692052439434276,56.9835725124905,1.09642538668989e-06,890000,890000,-0.0877230809091697,4418.32808219178,-0.3,889999.999999999,-0.0877230809091709,0.00496441357549639,0.00269640523426276,53.6223955971761,6.10277277762761e-07,-0.610375589967292,-0.0589850156302077
"4","5_1246_6","FB_undefined_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,30826560,139470468,975580.968207514,49720.2580645161,0.0509647683634807,1.88698038743998,56.9835725124905,3.7951942747189e-05,890000,890000,-0.0877230809091697,59664.3096774194,0.2,889999.999999999,-0.0877230809091709,0.0670385501993477,2.94074234513014,53.6223955971761,4.92881315652445e-05,0.558438214145817,-0.0589850156302077
"5","5_1246_6","Google_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,3782683,139470468,975580.968207514,9600.71827411168,0.00984102661591644,0.0473809518689126,56.9835725124905,4.93514657092639e-06,890000,890000,-0.0877230809091697,6720.50279187817,-0.3,889999.999999999,-0.0877230809091709,0.0075511267324474,0.0199292367028795,53.6223955971761,2.96543834889323e-06,-0.579382939413772,-0.0589850156302077
"6","5_1246_6","Google_undefined_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,192049,139470468,975580.968207514,4572.59523809524,0.00468704842253812,0.0277565222534685,56.9835725124905,6.07019007985294e-06,890000,890000,-0.0877230809091697,3200.81666666667,-0.3,889999.999999999,-0.0877230809091709,0.00359642322097379,0.0130034771058315,53.6223955971761,4.06254979900907e-06,-0.531516341021195,-0.0589850156302077
"7","5_1246_6","Google_youtube_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,68095,139470468,975580.968207514,3242.61904761905,0.00332378260061477,4.95691656330421,56.9835725124905,0.00152867681664422,890000,890000,-0.0877230809091697,3891.14285714286,0.2,889999.999999999,-0.0877230809091709,0.00437207062600322,5.50554975262745,53.6223955971761,0.00141489273325472,0.110680335712072,-0.0589850156302077
"8","5_1246_6","Influencer_big_fix_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,2260000,139470468,975580.968207514,753333.333333333,0.772189452114336,37.6953202619691,56.9835725124905,5.00380357459767e-05,890000,890000,-0.0877230809091697,707945.217032005,-0.0602497119044184,889999.999999999,-0.0877230809091709,0.795444064080906,34.4749112666569,53.6223955971761,4.86971455378847e-05,-0.0854325940973982,-0.0589850156302077
